City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,abomsa,9.9833,39.9833,25.16,55,50,2.36,ET,1691514223
84,tolanaro,-25.0319,46.9987,19.97,88,7,4.39,MG,1691514224
85,quata,-22.2475,-50.6983,28.35,39,0,5.87,BR,1691514169
86,suncho corral,-27.9336,-63.4294,20.35,31,66,3.94,AR,1691514226
87,haiku-pauwela,20.9219,-156.3051,25.58,68,40,8.23,US,1691514227
88,ust'-kulom,61.6864,53.6902,18.16,77,25,2.55,RU,1691514228
89,livramento do brumado,-13.6431,-41.8406,32.02,31,1,2.81,BR,1691514229
90,port elizabeth,-33.918,25.5701,15.61,82,40,7.2,ZA,1691514230
91,arauca,7.0847,-70.7591,30.98,70,40,1.03,CO,1691514006
92,jerseyville,39.12,-90.3285,29.32,54,70,2.84,US,1691514232
93,santa rita do sapucai,-22.2522,-45.7033,28.54,33,0,1.31,BR,1691514233
94,anuradhapura,8.3565,80.4173,25.98,81,92,5.02,LK,1691514234
95,vadso,70.0744,29.7487,26.49,68,0,4.63,NO,1691514235
96,okhotsk,59.3833,143.3,11.5,70,58,3.56,RU,1691514236
97,kingston,17.997,-76.7936,34.58,65,20,4.12,JM,1691514153
98,pandan,14.0453,124.1694,27.67,83,69,3.41,PH,1691514238
99,stanley,54.868,-1.6985,18.77,58,20,5.14,GB,1691514239
100,kavaratti,10.5669,72.642,27.78,79,98,6.31,IN,1691514240
101,ketchikan,55.3422,-131.6461,15.26,94,100,3.09,US,1691514241
102,chengde,40.9725,117.9361,18.91,91,47,0.77,CN,1691514243
103,jiuquan,39.7432,98.5174,28.51,29,54,1.57,CN,1691514244
104,cabo san lucas,22.8909,-109.9124,35.66,59,0,4.99,MX,1691513687
105,cornelio procopio,-23.1811,-50.6467,24.58,46,86,5.76,BR,1691514246
106,san miguel panixtlahuaca,16.2484,-97.3843,29.11,50,4,1.86,MX,1691514247
107,margaret river,-33.95,115.0667,11.92,56,56,5.75,AU,1691514248
108,severo-yeniseyskiy,60.3725,93.0408,11.46,97,92,1.72,RU,1691514248
109,ola,59.5833,151.2833,8.16,68,20,4.05,RU,1691514249
110,troitskiy,57.0603,63.7481,18.75,70,37,1.41,RU,1691514250
111,kikinda,45.8297,20.4653,21.14,47,19,2.11,RS,1691514251
112,tengrela,10.4869,-6.4097,29.12,66,82,0.37,CI,1691514252
113,longyearbyen,78.2186,15.6401,10.91,58,20,8.23,SJ,1691514253
114,tura,25.5198,90.2201,23.88,99,100,2.62,IN,1691514254
115,kyabe,9.4515,18.9449,23.49,91,97,1.25,TD,1691514255
116,datong,40.0936,113.2914,22.88,64,57,1.25,CN,1691514013
117,hami,42.8,93.45,33.83,20,100,7.5,CN,1691514257
118,callao,-12.0667,-77.15,22.16,68,100,4.12,PE,1691514258
119,el calafate,-50.3408,-72.2768,1.93,80,57,2.03,AR,1691514259
120,beau vallon,-20.4189,57.6953,23.13,64,40,6.17,MU,1691514260
121,am timan,11.0297,20.2827,24.53,87,80,2.5,TD,1691514261
122,oak island,33.9166,-78.1611,33.91,71,0,6.17,US,1691514045
123,port augusta,-32.5,137.7667,8.71,47,0,2.87,AU,1691514264
124,hithadhoo,-0.6,73.0833,27.91,71,79,2.06,MV,1691514265
125,agat village,13.3886,144.6585,27.52,93,0,1.54,GU,1691514266
126,tra vinh,9.9347,106.3453,25.58,88,12,3.14,VN,1691514267
127,debno,52.739,14.698,16.75,65,96,6.22,PL,1691514268
128,college,64.8569,-147.8028,16.06,86,75,1.54,US,1691514269
129,dakhla,23.6848,-15.958,25.01,69,0,8.23,EH,1691514270
130,baotou,40.6522,109.8222,27.9,38,74,2.29,CN,1691514270
131,akjoujt,19.6969,-14.4164,39.41,15,0,4.67,MR,1691514272
132,eraan,9.0629,117.7016,26.48,88,6,3.36,PH,1691514274
133,hawaiian paradise park,19.5933,-154.9731,23.83,89,75,0.45,US,1691514275
134,bilibino,68.0546,166.4372,4.84,53,100,2.38,RU,1691514276
